"Артикул";"Бренд";"НаименованиеТовара";"ЦеноваяГруппа";"Количество";"Цена";"КратностьОтгрузки";"НаименованиеХарактеристики";"НоменклатурнаяГруппа";"Склад";"Срок";"Код1С"
"00000001226";"";"Кабель электрический 2*1,5 для проводки прицепов (МИН 50м!)";"HD Тормозные колодки (NF parts)";">100";"84,00";"1,00";"";"";"ЦС";"0";"i-005455126"
"TL-R01-015-01";"";"Втулка винта подъема";"";"3";"2520,00";"1,00";"";"";"ЦС";"0";"i-005460457"
"25-3920-511";"#УДАЛИТЬ#ASPOECK";"Фонарь зад ECOLED 2XASS2 473*130 с рогом правый";"";"1";"15239,00";"1,00";"";"";"ЦС";"0";"i-005428540"
"415";"3F QUALITY";"Фильтр салона угольный HYUNDAI Santa Fe I 2000 → 03/2003";"PC Фильтры 3F Quality";"1";"300,00";"1,00";"";"";"ЦС";"0";"i-003509555"
"D41173C";"AUTOFREN";"Ремком.суппорта SEAT CORDOBA (6L2) 2002-2009";"PC Тормозная система (AUTOFREN)";"1";"411,00";"1,00";"";"";"ЦС";"0";"i-005401054"
"D41618C";"AUTOFREN";"Ремком.зад.суппорта PEUGEOT 4007 (GP_),CITROEN C-CROSSER";"PC Тормозная система (AUTOFREN)";"2";"699,00";"1,00";"";"";"ЦС";"0";"i-005401154"
"0434250162";"BOSCH";"Форсунка дизельная RENAULT Master/Trafic 2.5D 89-01";"Дизельный впрыск (BOSCH)";"8";"1025,00";"1,00";"";"";"ЦС";"0";"i-001472889"
"0434250176";"BOSCH";"Распылитель форсунки [дизель] DN0SD314 MERCEDES mot.OM602/OM603";"Дизельный впрыск (BOSCH)";"1";"722,00";"1,00";"";"";"ЦС";"0";"i-001472901"
"0434250191";"BOSCH";"РАСПЫЛИТЕЛЬ ФОРСУНКИ  BMW E36 1.7TD/2.5TD 94-00/E38/E39 2.5TD 97-00, Opel Omega 2.5TD 96-01";"Дизельный впрыск (BOSCH)";"2";"1418,00";"1,00";"";"Дизельный впрыск (BOSCH)";"ЦС";"0";"i-001472903"
"0434250253";"BOSCH";"Распылитель форсунки дизеля FORD Mondeo I II 1.8TD 6/93-9/00, Escort 95/VII 1.8TD 10/95-6/01,";"Дизельный впрыск (BOSCH)";"1";"1852,00";"1,00";"";"";"ЦС";"0";"i-001472922"
"0434250897";"BOSCH";"Распылитель форсунки MERCEDES mot.OM605/OM606";"Дизельный впрыск (BOSCH)";"1";"987,00";"1,00";"";"";"ЦС";"0";"i-001472926"
"0437502035";"BOSCH";"Форсунка инжекторная MERCEDES mot.M102/M103/M116/M117,RENAULT 25/LANCIA Thema";"Бензиновый впрыск (BOSCH)";"4";"1869,00";"1,00";"";"";"ЦС";"0";"i-001469972"
"0440020078";"BOSCH";"ШЕСТИРЕННЫЙ НАСОС";"Дизель прочее (BOSCH)";"3";"15574,00";"1,00";"";"Дизель прочее (BOSCH)";"ЦС";"0";"i-001558819"
"0440020087";"BOSCH";"ШЕСТЕРЕННЫЙ НАСОС ДИЗЕЛЬ";"Дизель прочее (BOSCH)";"1";"10319,00";"1,00";"";"Дизель прочее (BOSCH)";"ЦС";"0";"i-001647152"
"K1024";"FILTRON";"Фильтр салона VW GROUP";"PC Фильтры воздушные и салонные (FILTRON)";"1";"246,00";"1,00";"";"";"ЦС";"0";"i-001788548"
"K1024A";"FILTRON";"Фильтр салона VW GROUP";"PC Фильтры воздушные и салонные (FILTRON)";"1";"462,00";"1,00";"";"";"ЦС";"0";"i-001781131"
"K1036";"FILTRON";"Фильтр салона VW GROUP";"PC Фильтры воздушные и салонные (FILTRON)";"5";"345,00";"1,00";"";"";"ЦС";"0";"i-001789908"
"K1036A";"FILTRON";"Фильтр салона";"PC Фильтры воздушные и салонные (FILTRON)";"1";"527,00";"1,00";"";"";"ЦС";"0";"i-001762924"
"K1037";"FILTRON";"Фильтр салона VW GROUP";"PC Фильтры воздушные и салонные (FILTRON)";"2";"474,00";"1,00";"";"";"ЦС";"0";"i-001758453"
"K1039";"FILTRON";"Фильтр салона MERCEDES";"PC Фильтры воздушные и салонные (FILTRON)";"2";"1105,00";"1,00";"";"";"ЦС";"0";"i-001759070"
